Product,Issue,Company,State,ZIP code,Complaint ID
checking savings account,managing account,navy federal credit union,FL,328XX,3238275
checking savings account,managing account,boeing employees credit union,WA,98204,3238228
debt collection,communication tactics,curo intermediate holdings,TX,751XX,3237964
credit reporting credit repair services personal consumer reports,incorrect information report,ad astra recovery services inc,LA,708XX,3238479
checking savings account,managing account,ally financial inc,AZ,85205,3238460
mortgage,closing mortgage,statebridge company,NJ,08302,3237885
student loan,struggling repay loan,student loan direct,TX,773XX,3238221
debt collection,attempts collect debt owed,diversified consultants inc,SC,296XX,3238545
credit reporting credit repair services personal consumer reports,incorrect information report,contract callers inc,MD,20774,3238458
vehicle loan lease,struggling pay loan,ally financial inc,NV,891XX,3238036
debt collection,false statements representation,miramed revenue group llc,VA,23156,3237941
debt collection,false statements representation,commonwealth financial systems inc,TX,774XX,3237971
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,ally financial inc,TX,774XX,3237837
debt collection,took threatened take negative legal action,navy federal credit union,FL,346XX,3237928
debt collection,communication tactics,mercantile adjustment bureau llc,NY,14609,3238682
debt collection,attempts collect debt owed,hcfs health care financial services inc,AZ,852XX,3237088
checking savings account,managing account,ally financial inc,CO,81302,3237160
debt collection,false statements representation,diversified consultants inc,NJ,087XX,3236983
debt collection,false statements representation,ally financial inc,MI,48185,3237404
debt collection,written notification debt,weltman weinberg  reis co lpa,OH,432XX,3236857
debt collection,threatened contact someone share information improperly,cashcall inc,CA,944XX,3236737
debt collection,attempts collect debt owed,ability recovery services llc,NC,28216,3237833
credit reporting credit repair services personal consumer reports,incorrect information report,nissan motor acceptance corporation,TX,797XX,3237655
credit reporting credit repair services personal consumer reports,improper use report,first advantage corporation,UT,84401,3237100
debt collection,written notification debt,midwest fidelity services llc,IL,60025,3237425
debt collection,attempts collect debt owed,hcfs health care financial services inc,FL,33056,3236953
debt collection,written notification debt,nicholas financial inc,FL,338XX,3237247
debt collection,attempts collect debt owed,sfs inc,NC,28752,3236773
debt collection,took threatened take negative legal action,curo intermediate holdings,ME,04042,3237657
credit reporting credit repair services personal consumer reports,incorrect information report,diversified consultants inc,FL,328XX,3237831
debt collection,attempts collect debt owed,ad astra recovery services inc,OR,972XX,3237515
mortgage,closing mortgage,quicken loans inc,NJ,08619,3237320
credit reporting credit repair services personal consumer reports,incorrect information report,the cmi group inc,SC,297XX,3237630
debt collection,written notification debt,ncc business services inc,NY,132XX,3236839
debt collection,attempts collect debt owed,sequoia financial services,CA,91205,3237250
debt collection,attempts collect debt owed,uscb inc,AZ,85713,3236808
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NC,276XX,3236855
debt collection,communication tactics,erc,NC,280XX,3237137
mortgage,trouble payment process,citibank na,NJ,07735,3237284
vehicle loan lease,problems end loan lease,ally financial inc,TX,750XX,3236888
vehicle loan lease,incorrect information report,navy federal credit union,VA,235XX,3237300
debt collection,attempts collect debt owed,convergent resources inc,MI,48162,3237758
debt collection,communication tactics,mccarthy burgess  wolff inc,TX,782XX,3237483
credit card prepaid card,fees interest,navy federal credit union,WI,546XX,3237779
debt collection,written notification debt,getm incorporated,CA,924XX,3236826
debt collection,written notification debt,ad astra recovery services inc,TX,777XX,3237308
checking savings account,problem lender company charging account,navy federal credit union,MD,207XX,3237252
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,949XX,3236867
vehicle loan lease,managing loan lease,ally financial inc,MN,550XX,3236982
debt collection,communication tactics,diversified consultants inc,NV,89119,3237211
debt collection,attempts collect debt owed,equifax inc,TX,77082,3236934
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,GA,30126,3236941
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,NC,28540,3236914
debt collection,attempts collect debt owed,savit enterprises inc,NJ,070XX,3236776
debt collection,attempts collect debt owed,charleston area medical center,WV,26003,3236752
checking savings account,managing account,ally financial inc,NV,89123,3237556
debt collection,attempts collect debt owed,perfection collection,FL,329XX,3235461
debt collection,took threatened take negative legal action,cng financial corporation,IL,604XX,3235984
debt collection,attempts collect debt owed,the cmi group inc,FL,329XX,3235493
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,339XX,3235467
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,NY,104XX,3235814
debt collection,attempts collect debt owed,asset management outsourcing inc,GA,30331,3236113
debt collection,attempts collect debt owed,navy federal credit union,LA,70115,3236254
debt collection,attempts collect debt owed,nra group llc,MA,016XX,3235537
checking savings account,problem caused funds low,bbt corporation,GA,30510,3237603
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,CT,06514,3235583
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NY,109XX,3235560
